key-bin-checksum,tag-serial-number,start-timestamp,longitude,latitude,height-above-ellipsoid,type-of-fix,status,used-time-to-get-fix,timestamp-of-fix,battery-voltage,fix-battery-voltage,temperature,speed-over-ground,heading-degree,speed-accuracy-estimate,horizontal-accuracy-estimate
1520272738,3521,2015-05-29 16:11:52.000,7.8141105,52.4589327,108.3,3,A,123,2015-05-29 16:13:55.999,3691,3302,22,0.12,20.32,1.88,4.10
0530852268,3521,2015-05-29 16:11:52.000,7.8140998,52.4589298,108.7,3,A,124,2015-05-29 16:13:56.999,3691,3306,22,0.36,15.73,3.22,4.35
4045482824,3521,2015-05-29 16:14:01.000,7.8140992,52.4589118,113.7,3,A,4,2015-05-29 16:14:05.000,3569,3327,24,0.89,358.48,4.66,7.94
3054862330,3521,2015-05-29 16:14:01.000,7.8140772,52.4588812,108.8,3,A,4,2015-05-29 16:14:06.000,3569,3322,24,0.21,348.00,3.14,7.17
3488638914,3521,2015-05-29 16:14:01.000,7.8140496,52.4588730,106.5,3,A,6,2015-05-29 16:14:07.000,3569,3320,24,0.60,341.44,3.60,6.91
0300814092,3521,2015-05-29 16:14:01.000,7.8140516,52.4588677,105.6,3,A,7,2015-05-29 16:14:08.000,3569,3320,24,0.39,334.23,2.82,6.66
2792593174,3521,2015-05-29 16:14:01.000,7.8140506,52.4588723,106.2,3,A,8,2015-05-29 16:14:09.000,3569,3282,24,0.38,324.40,2.97,6.40
3738020528,3521,2015-05-29 16:14:01.000,7.8140512,52.4588699,105.6,3,A,8,2015-05-29 16:14:10.000,3569,3281,24,0.34,315.23,3.00,6.14
0060020919,3521,2015-05-29 16:14:01.000,7.8140647,52.4588638,106.3,3,A,10,2015-05-29 16:14:11.000,3569,3315,24,0.41,304.09,2.73,5.89
3369007671,3521,2015-05-29 16:14:01.000,7.8140607,52.4588663,106.8,3,A,11,2015-05-29 16:14:12.000,3569,3314,24,0.11,296.22,1.52,5.89
3987565634,3521,2015-05-29 16:14:01.000,7.8140594,52.4588713,106.5,3,A,12,2015-05-29 16:14:13.000,3569,3312,24,0.22,305.40,3.14,5.63
1539480072,3521,2015-05-29 16:14:01.000,7.8140526,52.4588851,105.7,3,A,12,2015-05-29 16:14:14.000,3569,3315,24,0.57,308.02,2.94,5.89
